product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,review_content,price_difference,discount_effectiveness_score,popularity_score,review_length,sentiment_score,main_category,category_encoded,tfidf_about_0,tfidf_about_1,tfidf_about_2,tfidf_about_3,tfidf_about_4,price_band,rating_density,discount_impact,category_popularity,engagement_score,demand_score,product_classification
B000000000,Sample Product 0,Home|Kitchen|Appliances,2608.0,7679.0,0.49,4.9,46490,Great quality product with nice features.,Really good for the price. Fast shipping.,5071.0,0.4802,52.66036871983168,41,0.44999999999999996,Home,3,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,2,6.053385416666667,2.4010000000000002,232,57.91236871983168,0.8674624947260563,High Demand
B000000001,Sample Product 1,Clothing|Men|Shirts,2879.0,2060.0,0.75,3.8,44911,Great quality product with nice features.,"Amazing product, totally worth it!",-819.0,0.5700000000000001,40.707349134686325,34,0.48750000000000004,Clothing,0,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0,21.790878214459,2.8499999999999996,280,46.894849134686325,0.7719991825387258,High Demand
B000000002,Sample Product 2,Electronics|TV|Smart,1024.0,1766.0,0.67,2.2,24882,Great quality product with nice features.,Do not buy this waste of money.,742.0,0.29480000000000006,22.268268260396873,31,-0.2,Electronics,2,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0,14.081494057724958,1.4740000000000002,258,25.016268260396874,0.3713535651859442,Risky Product
B000000003,Sample Product 3,Home|Kitchen|Appliances,3056.0,4138.0,0.77,2.2,35423,Great quality product with nice features.,"Terrible, broke after one day.",1082.0,0.33880000000000005,23.045318638118403,30,-1.0,Home,3,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,1,8.558347426914713,1.6940000000000002,232,25.433318638118404,0.41665523476583693,Risky Product
B000000004,Sample Product 4,Home|Kitchen|Appliances,1681.0,9441.0,0.23,4.9,11985,Great quality product with nice features.,"Terrible, broke after one day.",7760.0,0.22540000000000004,46.018323446988845,30,-1.0,Home,3,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,2,1.2693285320906587,1.1270000000000002,232,47.27232344698884,0.42075119040443615,Medium Demand
B000000005,Sample Product 5,Clothing|Men|Shirts,3424.0,3927.0,0.51,2.9,23777,Great quality product with nice features.,Do not buy this waste of money.,503.0,0.2958,29.22189658101362,31,-0.2,Clothing,0,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,1,6.053207739307536,1.4789999999999999,280,31.97989658101362,0.4153632089687179,Risky Product
B000000006,Sample Product 6,Electronics|TV|Smart,4585.0,5280.0,0.18,2.3,17756,Great quality product with nice features.,Do not buy this waste of money.,695.0,0.08279999999999998,22.504430691725318,31,-0.2,Electronics,2,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,1,3.362241999621284,0.414,258,23.132430691725318,0.2679270688927732,Low Demand
B000000007,Sample Product 7,Electronics|TV|Smart,355.0,2427.0,0.42,3.8,7136,Great quality product with nice features.,"Amazing product, totally worth it!",2072.0,0.3192,33.71758163609005,34,0.48750000000000004,Electronics,2,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0,2.9390444810543657,1.5959999999999999,258,37.39708163609005,0.3974736566511964,Medium Demand
B000000008,Sample Product 8,Home|Kitchen|Appliances,4904.0,2856.0,0.57,3.9,321,Great quality product with nice features.,"It is okay, nothing special.",-2048.0,0.4446,22.52075102762319,28,0.4285714285714286,Home,3,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0,0.11235561778088904,2.223,232,27.39532245619462,0.3564392829158665,Medium Demand
B000000009,Sample Product 9,Computers|Laptops|Gaming,1938.0,5290.0,0.65,3.9,37423,Great quality product with nice features.,"Terrible, broke after one day.",3352.0,0.507,41.06726320641344,30,-1.0,Computers,1,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,1,7.072954072954073,2.535,230,45.137263206413444,0.5927373274666987,High Demand
